sample,run,condition,sample,t_name2
sample01,SRR1575102,B,sample01,sample01
sample02,SRR1575103,B,sample02,sample02
sample03,SRR1575104,B,sample03,sample03
sample04,SRR1575105,B,sample04,sample04
sample05,SRR3895734,A,sample05,sample05
sample06,SRR3895735,A,sample06,sample06
sample07,SRR3895736,A,sample07,sample07
sample08,SRR3895737,A,sample08,sample08
sample09,SRR3895738,A,sample09,sample09
sample10,SRR3895739,A,sample10,sample10
sample11,SRR3895741,A,sample11,sample11
sample12,SRR3895742,A,sample12,sample12
sample13,SRR3895743,A,sample13,sample13
sample14,SRR3895744,A,sample14,sample14
sample15,SRR3895746,A,sample15,sample15
sample16,SRR3895748,A,sample16,sample16
